k,accuracy
1,0.32018501055278636
2,0.39245588037181733
3,0.41660604427685316
4,0.4323543940006287
5,0.4464699806906043
6,0.45583846004157513
7,0.4628946068525554
8,0.4688333557860703
9,0.4752755449778027
10,0.4805056356370038
11,0.4846949897738325
12,0.48818387294745585
13,0.4915843687500029
14,0.4951072278568704
15,0.49819330309705856
16,0.5004496160581975
17,0.5020553499588297
18,0.5033943548830647
19,0.5044822753367968
20,0.5052319367730982
21,0.5060774213139321
22,0.5076600573973694
23,0.5097255494575644
24,0.5122363674465226
25,0.5154354483812236
26,0.5184005361023325
27,0.5215458127309035
28,0.524379823329033
29,0.5270317017161588
30,0.5295115781280643
31,0.5318479761392672
32,0.5339799721586062
33,0.5361142068672229
34,0.537963616000102
35,0.5397748311232761
36,0.5414659641454689
37,0.5430474796498859
38,0.5446067344029502
39,0.5460678348997252
40,0.5476227042076371
41,0.5491455364505955
42,0.5508024180527173
43,0.5524799831238143
44,0.5541231389742408
45,0.5559842531469674
46,0.5578624603903831
47,0.5597560963957436
48,0.5617250063616096
49,0.5638771202944496
50,0.5661119942521373
51,0.5683004334698619
52,0.5705088481055417
53,0.572809142415583
54,0.5751411611887224
55,0.5774783535203446
56,0.579861819441509
57,0.5821908041464091
58,0.5846297853362765
59,0.5870730079282326
60,0.5895283428383801
61,0.5919954888402783
62,0.5944343286413573
63,0.5968390823027673
64,0.5991978759710809
65,0.6014268887066205
66,0.6036947679682364
67,0.6058547354832244
68,0.6079263444566436
69,0.6098706136626174
70,0.6116910759988645
71,0.6133837286593802
72,0.6149837092919385
73,0.6165015929137272
74,0.6178699513195615
75,0.6190890176178458
76,0.6202540231759699
77,0.6213168034531346
78,0.6223442729971517
79,0.6232246564019522
80,0.624018141811483
81,0.6247620980059363
82,0.625338406556743
83,0.6258717207507498
84,0.6262910858357463
85,0.626674908141796
86,0.6269711675529333
87,0.6271741088456831
88,0.6273276344204493
89,0.6273938527938427
90,0.6273995240013578
91,0.6273490127453362
92,0.6273168784057421
93,0.6272070195463519
94,0.6270801027666065
95,0.6269051856364118
96,0.6267446712170976
97,0.6265509864622338
98,0.6263550226772315
99,0.6261484121379074
100,0.625959136018671
101,0.6257399066054424
102,0.6255511266432197
103,0.6253757781618697
104,0.625187566710535
105,0.6250492997949022
106,0.6249192336923336
107,0.6247729650579344
108,0.6246536041632478
109,0.6245020745088234
110,0.6242704289290217
111,0.6240893999207863
112,0.6238581981357844
113,0.6236335522574913
114,0.6233983517320648
115,0.6231525595144548
116,0.6228582024493845
117,0.6225944387060145
118,0.622297394493005
119,0.6219842861030326
120,0.6216899426706834
121,0.6213473200894414
122,0.6210108295807917
123,0.6206876232846126
124,0.6203605764704377
125,0.6200694418250274
126,0.6197818591857406
127,0.6194921579836437
128,0.6192320321972249
129,0.618965426614315
130,0.6186814371126322
131,0.618466844848854
132,0.6182728538245376
133,0.6181321551212035
134,0.6180317595640045
135,0.617962721803407
136,0.6179204539150875
137,0.6179290185401208
138,0.6179966822012879
139,0.618074744030637
140,0.6182283507502857
141,0.6184200343383331
142,0.618646586962401
143,0.6189125527128133
144,0.6191690865727693
145,0.6194522461253811
146,0.6197435835914559
147,0.620037616735117
148,0.6203496437297196
149,0.6206786995254008
150,0.6210225874535087
151,0.6213502629944463
152,0.6216635823696477
153,0.6219775020640371
154,0.6222812797242613
155,0.6226047202895248
156,0.6229234384697482
157,0.623243016126199
158,0.6235926539193815
159,0.6239457451498711
160,0.6242878553145609
161,0.6246300667529459
162,0.6249911713621853
163,0.6253561651496959
164,0.6256944193448446
165,0.6260388609249419
166,0.6264013889316394
167,0.6267497875055638
168,0.6270691800902154
169,0.6273826671778293
170,0.6277015529370562
171,0.6279761102873713
172,0.6282525400310904
173,0.6285036068441441
174,0.628732793332163
175,0.6289558707491268
176,0.6291609003955642
177,0.6293915714200634
178,0.6295840289897856
179,0.6298024334752694
180,0.6300150183863031
181,0.6302518998612358
182,0.6304734961470361
183,0.6306860452191181
184,0.630923568930867
185,0.6311769724724645
186,0.6314259612548907
187,0.631692362443276
188,0.6319689235011564
189,0.6322859903707243
190,0.632619241758531
191,0.632978392003248
192,0.6333983527175323
193,0.6338367167164818
194,0.6343319014505526
195,0.6348864409643808
196,0.6354778904691317
197,0.6361206411772883
198,0.6368189052952867
199,0.637573921969584
200,0.638402712290614
201,0.6392797787523085
202,0.6402073387993367
203,0.64122225179023
204,0.642303201760287
205,0.6434631539632424
206,0.6447099825740715
207,0.6460404327153445
208,0.6474445331039775
209,0.6489106555102793
210,0.6504714433253538
211,0.6521142284589885
212,0.6538715720390925
213,0.655682998555675
214,0.6575848912802503
215,0.6595870576157995
216,0.661648147316681
217,0.6637807553349055
218,0.6659986462434303
219,0.6683027022635043
220,0.6706706428422428
221,0.6731088344103984
222,0.6756132530205814
223,0.6781788997842982
224,0.6807938886857438
225,0.6834797551154975
226,0.6862347236942372
227,0.6890405915811533
228,0.691910357644196
229,0.6948424004154801
230,0.6978043566119462
231,0.7008390714169698
232,0.7039416166900533
233,0.7070868354302132
234,0.7102806285068937
235,0.7135270383503513
236,0.7168148547309697
237,0.7201486314343741
238,0.7235293362934491
239,0.726937891971701
240,0.7304018291497315
241,0.7339109928787653
242,0.7374464149658044
243,0.7410322012903596
244,0.7446562854047369
245,0.7483311384635183
246,0.7520560683176424
247,0.7558350845564981
248,0.7596481945827035
249,0.7635029588020926
250,0.7674158695939142
251,0.7713663376043195
252,0.7753428319111161
253,0.7793575038383989
254,0.7833824995245964
255,0.7874242484273684
256,0.7914643113745565
257,0.7955238852574438
258,0.7995757302961204
259,0.8036262470604622
260,0.8076748291005518
261,0.8117208792733956
262,0.8157634324785753
263,0.8197924889028444
264,0.823818305647863
265,0.8278362763362863
266,0.831851148820561
267,0.835857878715947
268,0.8398642313148208
269,0.8438632997247907
270,0.8478518718096099
271,0.8518305608766984
272,0.8557919146382952
273,0.8597353669438795
274,0.8636558693596298
275,0.8675428622738262
276,0.8714024370012345
277,0.8752348256385183
278,0.8790344095456893
279,0.8828083014274385
280,0.8865661104806268
281,0.8903022234261965
282,0.8940221896751699
283,0.8977317975344172
284,0.9014272351064738
285,0.9051064456698195
286,0.9087639155921908
287,0.9123993714469555
288,0.9159997268238451
289,0.9195696967909223
290,0.9231070561990442
291,0.9266157521923266
292,0.9300938339850886
293,0.9335529256992334
294,0.9369953900102843
295,0.9404224920087871
296,0.943830382317136
297,0.9472310785780583
298,0.9506257080512829
299,0.9540223214767675
300,0.9574159893414158
301,0.9608062337754607
302,0.9641855648837642
303,0.9675496149934227
304,0.9708899378636028
305,0.9742018199239962
306,0.9774994518881993
307,0.9807672049016843
308,0.9840204162449432
309,0.9872439679535988
310,0.9904486056870047
311,0.9936238558687545
312,0.9968074510857549
313,1.0
